time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,1.20159831643e-07,-1.17641968977e-07,10.0094057011,6.28299814327,6.28296395035,0.0,1.71002612398e-05,-1.52609282975e-05,0.313490011519,-0.0102309429742,-0.0123366412339,0.0,500.652224334665,499.7540534372787,500.32182093371244,499.5765812000783
0.12000000000000001,8.72095113694e-06,-7.54675493607e-06,10.0326745298,6.28192749526,6.2817066313,0.0,0.000365713764963,-0.000315770722997,0.462088541819,-0.0409142196029,-0.0500282590143,0.0,454.4013036879641,451.36996944972975,452.7112900987325,450.2359942341528
0.18,7.70552209811e-05,-6.53612569783e-05,10.0656599529,6.27978446359,6.27891679812,0.0,0.00223868370472,-0.00186952696668,0.63734242273,-0.0269502174013,-0.0402362708322,0.0,459.934859387749,460.708381503022,459.94481719967837,461.0486835515216
0.23999999999999996,0.000310614397887,-0.000255475856394,10.1072815821,6.27796415814,6.27614176193,0.0,0.00581158787423,-0.00464480947785,0.749975497145,-0.0381607867652,-0.0623492145958,0.0,441.9717599122882,440.1442928570306,442.0665141239979,441.1415835573761
0.3,0.000815020737439,-0.000647941639203,10.154761641,6.27549383967,6.27251298432,0.0,0.0113676936127,-0.00867289901386,0.832631638432,-0.0479991270648,-0.0569821090318,0.0,431.9104660943533,432.3601014303419,432.2079251564588,431.3770802424724
0.36000000000000004,0.00179316546992,-0.00138376085707,10.2132440467,6.27233289586,6.26901774896,0.0,0.0216810745876,-0.0162399131576,1.11653974644,-0.0642439873822,-0.0609260688708,0.0,492.4572351861623,492.16345195840444,493.4104558063057,492.20825931773254
0.4200000000000001,0.00349706141212,-0.00266999961841,10.2897409594,6.26788364203,6.26489005748,0.0,0.0356203563978,-0.0271384751333,1.43300150453,-0.130230366107,-0.0932019719866,0.0,502.69409625954995,500.3466928082234,505.22942341882913,500.44425915925154
0.48000000000000015,0.00602068852467,-0.00463266565904,10.3780467192,6.26041069502,6.2592812968,0.0,0.0490511759515,-0.0390339941839,1.51039924376,-0.115103755096,-0.0940395211281,0.0,432.4046487216048,432.32642953866025,430.60023719047194,431.8630923562107
0.5400000000000001,0.00950873757688,-0.0075002344361,10.4728533398,6.25327308779,6.2531689483,0.0,0.0678368090926,-0.0573020154343,1.64959438871,-0.128064239523,-0.126070080555,0.0,453.41418702210234,450.82429310657466,451.4953097965692,450.43588724055604
0.6000000000000002,0.0143023072023,-0.0116586480296,10.5771981994,6.24650046412,6.2460818186,0.0,0.0927691662833,-0.0821120040754,1.82824358392,-0.0928553641992,-0.105690535114,0.0,462.81252756349215,464.40147709450224,463.10100675210856,465.85049021642493
0.6600000000000003,0.0208640909556,-0.0175657404334,10.6952131791,6.24075590525,6.2395878291,0.0,0.126761017459,-0.115496163162,2.10505711779,-0.102247598687,-0.113871397661,0.0,493.71323863276695,493.100237238523,493.5122016503118,492.81164289355775
0.7200000000000003,0.029245131347,-0.0252481214108,10.8211206314,6.23436867111,6.23303230069,0.0,0.153177722037,-0.141115281186,2.09182733216,-0.116566915449,-0.101348027089,0.0,404.0620700079166,405.1775350832452,404.6844461069683,403.38216652003314
0.7800000000000004,0.0396717670123,-0.0349220553834,10.9530431094,6.22759928451,6.22752953977,0.0,0.195038008798,-0.182142888978,2.30509730286,-0.10623188863,-0.0772807366935,0.0,476.17651787155614,478.00723893447315,474.93506603029056,475.7165721848206
0.8400000000000004,0.0525064884755,-0.0469869346732,11.0936878973,6.22142393812,6.22332606029,0.0,0.233209843927,-0.220627702964,2.38283250181,-0.0970163520935,-0.058544623282,0.0,434.7294361528312,436.2924904227379,435.55175283374365,436.31229722077165
0.9000000000000005,0.0676164686674,-0.0613839949326,11.2374239861,6.21514132438,6.22038570348,0.0,0.270740859302,-0.259812905111,2.40825312468,-0.128165539322,-0.0346802569984,0.0,417.89769462376836,419.97084160653446,420.6495174330159,417.93244653672264
0.9600000000000005,0.0851577974442,-0.0783966163152,11.3847179946,6.20716396856,6.21809978453,0.0,0.314174722106,-0.308047869082,2.50126262483,-0.14484201944,-0.0460016585166,0.0,441.50290785711,440.56710837609535,442.39080714606837,440.99890439936667
1.0200000000000005,0.105282830696,-0.0983859966198,11.5364943732,6.19833718833,6.21496095918,0.0,0.356926521176,-0.359089755644,2.55772177142,-0.152086408972,-0.0695547266968,0.0,431.8604018668779,429.8671044268715,429.9797582704955,429.3444385718039
1.0800000000000005,0.128445512423,-0.122117567199,11.6975050977,6.18997970337,6.21053344313,0.0,0.415652489165,-0.432984434071,2.80855770804,-0.121514094797,-0.0839997445936,0.0,491.0351561041856,489.95865645422487,488.3682941659641,490.6265316329914
1.1400000000000006,0.155009698359,-0.150182070001,11.8703362678,6.18236514827,6.20581306817,0.0,0.470318262545,-0.503264759417,2.95197092176,-0.140778911235,-0.06972350757,0.0,457.8888988028038,459.018388794545,461.82838393506603,460.2920101250481
1.2000000000000006,0.184735322043,-0.18234930431,12.0489665717,6.1739602008,6.20118394161,0.0,0.520931652311,-0.569755888037,3.00208991903,-0.138726249159,-0.0992741003664,0.0,431.9810887202527,429.47657444753895,432.0505279775333,432.2047118527327
1.2600000000000007,0.217757699798,-0.218884733466,12.2325536608,6.16652898129,6.19562221711,0.0,0.580382236864,-0.648860933144,3.11698307678,-0.104115196322,-0.0820257505395,0.0,451.2408828600125,452.62389209324715,452.0804783968257,454.8463247138211
1.3200000000000007,0.254568465454,-0.260458641364,12.4242103397,6.16039737123,6.19052340826,0.0,0.647149283556,-0.737558485346,3.2709549273,-0.0986060324066,-0.0916578167765,0.0,466.01312464145735,465.2539747627793,465.59958909904054,466.0218660003332
1.3800000000000008,0.295051932537,-0.306898977116,12.6203338868,6.15457305078,6.18500353027,0.0,0.70277127579,-0.810957191995,3.26634706306,-0.0941702266893,-0.0926865834214,0.0,416.3614061884558,416.26363293549156,416.05676763951874,416.43620406110773
1.4400000000000008,0.338824457396,-0.35765630115,12.8147148833,6.14931301924,6.17922935517,0.0,0.756769411429,-0.88140074304,3.21301594597,-0.0770979708939,-0.104490612211,0.0,400.05747568583337,398.9720128339709,399.1953562824928,400.74279383466853
1.5000000000000009,0.386394442228,-0.413312460984,13.0102260102,6.14429331456,6.17282509254,0.0,0.829497214648,-0.974241518758,3.30355214156,-0.101907526735,-0.11165561109,0.0,448.83724966496607,448.2454373974784,448.15783721639605,446.1306556936125
1.560000000000001,0.438921250145,-0.475221045913,13.2152161922,6.13877139781,6.16572048152,0.0,0.922133451288,-1.08996246319,3.52848091423,-0.0773276155634,-0.137445075109,0.0,490.58079656069594,488.65042091775274,488.53868279577375,490.3614652064803
1.620000000000001,0.496725427606,-0.543642280653,13.4298408112,6.13452999919,6.15738555641,0.0,1.00546564136,-1.19113489523,3.62509427351,-0.0599403206065,-0.142027602894,0.0,453.3828514428846,452.9969807207281,451.78546897651125,453.1814347858788
1.680000000000001,0.559692446882,-0.618207149733,13.6501557278,6.1306940149,6.14919668312,0.0,1.09422320995,-1.29467460867,3.71815094353,-0.0734308807096,-0.127225460715,0.0,452.0848280479536,453.25900296188723,453.7740229856142,452.6867289649283
1.740000000000001,0.628822104431,-0.699820824287,13.8808999824,6.12614650165,6.14115966855,0.0,1.21092883708,-1.42618141038,3.972079193,-0.0809867650981,-0.152854651858,0.0,502.84327309301113,500.9683290392813,502.84296184223484,502.29145476711886
1.8000000000000012,0.704712018343,-0.788949402966,14.1237392125,6.12108044494,6.13183939776,0.0,1.31964362116,-1.54519960676,4.12161888239,-0.092412110225,-0.160827040005,0.0,474.3997137378986,473.7658765945268,474.7548424048397,473.8719071775888
